Year,Tag,Count
2020,python,320
2020,javascript,300
2020,reactjs,170
2020,css,380
2020,html,310
2020,c++,260
2020,c#,240
2020,java,270
2020,android,230
2020,flutter,190

2021,python,360
2021,javascript,305
2021,reactjs,175
2021,css,370
2021,html,315
2021,c++,270
2021,c#,250
2021,java,280
2021,android,240
2021,flutter,200

2022,python,450
2022,javascript,310
2022,reactjs,180
2022,css,365
2022,html,320
2022,c++,275
2022,c#,255
2022,java,290
2022,android,245
2022,flutter,210

2023,python,480
2023,javascript,315
2023,reactjs,190
2023,css,360
2023,html,325
2023,c++,280
2023,c#,260
2023,java,300
2023,android,250
2023,flutter,220

2024,python,631
2024,javascript,567
2024,reactjs,236
2024,css,450
2024,html,350
2024,c++,521
2024,c#,559
2024,java,569
2024,android,447
2024,flutter,338
